,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
2491,1,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/12.png,,,,26316,,165,3
2492,2,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/1.png,,,,6206,,165,3
2493,3,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/12.png,,,,3568,,165,3
2494,4,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/7.png,,,,3317,,165,3
2495,5,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/4.png,,,,2735,,165,3
2496,6,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/10.png,,,,2613,,165,3
2497,7,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/6.png,,,,2938,,165,3
2498,8,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/8.png,,,,3322,,165,3
2499,9,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/7.png,,,,2368,,165,3
2500,10,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/10.png,,,,2506,,165,3
2501,11,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/14.png,,,,2780,,165,3
2502,12,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/14.png,,,,3287,,165,3
2503,13,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/3.png,,,,3520,,165,3
2504,14,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/4.png,,,,2433,,165,3
2505,0,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/4.png,,,,2368,,165,3
2506,1,1,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/9.png,,,,3492,,165,3
2507,2,1,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/14.png,,,,2686,,165,3
